Testperson;fase;intervention;begin;end
3;1;Reference;1646039530973;1646039831235
3;2;Statisk;1646039917330;1646040217514
3;3;Dynamisk_10;1646040317041;1646040617179
3;4;Dynamisk_2;1646040710523;1646041010768
4;1;Dynamisk_2;1646042906630;1646043207048
4;2;Dynamisk_10;1646043294924;1646043595129
4;3;Reference;1646043692350;1646043992483
4;4;Statisk;1646044071618;1646044371807
5;1;Dynamisk_2;1646046240605;1646046540935
5;2;Reference;1646046630521;1646046930961
5;3;Dynamisk_10;1646047017677;1646047317876
5;4;Statisk;1646047413417;1646047713567
6;1;Reference;1646057289014;1646057589277
6;2;Dynamisk_2;1646057671346;1646057971514
6;3;Statisk;1646058065706;1646058365798
6;4;Dynamisk_10;1646058449237;1646058749415
7;1;Dynamisk_10;1646060927386;1646061227694
7;2;Reference;1646061316855;1646061616945
7;3;Statisk;1646061697024;1646061997101
7;4;Dynamisk_2;1646062081613;1646062381705
19;3;Statisk;1646313092601;1646313392704
19;4;Dynamisk_2;1646313528883;1646313828911
20;1;Dynamisk_10;1646316775984;1646317075999
20;2;Statisk;1646317164833;1646317464893
20;3;Dynamisk_2;1646317540915;1646317840949
20;4;Reference;1646317920265;1646318220326
21;1;Statisk;1646320235612;1646320535638
21;2;Reference;1646320615873;1646320916019
21;3;Dynamisk_10;1646320992817;1646321292873
21;4;Dynamisk_2;1646321374372;1646321674485
22;1;Dynamisk_10;1646381303620;1646381603708
22;2;Dynamisk_2;1646381687314;1646381987370
22;3;Reference;1646382068475;1646382368509
22;4;Statisk;1646382445673;1646382745726
23;1;Statisk;1646385102204;1646385402286
23;2;Dynamisk_2;1646385480614;1646385780799
23;3;Reference;1646385861697;1646386161810
23;4;Dynamisk_10;1646386239126;1646386539201
24;1;Stilhed;1646390000000;1646390000000
24;2;Statisk;1646390000000;1646390000000
24;3;Dynamisk_2;1646390000000;1646390000000
24;4;Dynamisk_10;1646390000000;1646390000000
25;1;Dynamisk_10;1646390000000;1646390000000
25;2;Statisk;1646390000000;1646390000000
25;3;Reference;1646390000000;1646390000000
25;4;Dynamisk_2;1646393055540;1646393355596
26;1;Statisk;1646395811265;1646396111386
26;2;Dynamisk_10;1646396193958;1646396494067
26;3;Reference;1646396576140;1646396876252
26;4;Dynamisk_2;1646396956672;1646397256753
27;1;Statisk;1646399401720;1646399701863
27;2;Reference;1646399781902;1646400081951
27;3;Dynamisk_2;1646400158612;1646400458742
27;4;Dynamisk_10;1646400547103;1646400847231
28;1;Dynamisk_10;1646403012872;1646403313155
28;2;Dynamisk_2;1646403401445;1646403701534
28;3;Reference;1646403785413;1646404085639
28;4;Statisk;1646404178089;1646404478156
29;1;Reference;1646406630911;1646406930937
29;2;Statisk;1646407004548;1646407304626
29;3;Dynamisk_2;1646407385329;1646407685460
29;4;Dynamisk_10;1646407772547;1646408072708
50;3;Dynamisk_2;1646832158721;1646832458801
50;4;Statisk;1646832535283;1646832835391
51;1;Reference;1646834475625;1646834775654
51;2;Dynamisk_10;1646834878388;1646835178417
51;3;Statisk;1646835252081;1646835552123
51;4;Dynamisk_2;1646835633520;1646835933607
52;1;Dynamisk_10;1646838415696;1646838715843
52;2;Statisk;1646838792552;1646839092627
52;3;Reference;1646839170292;1646839470378
52;4;Dynamisk_2;1646839542697;1646839842773
