testperson;fase;intervention;begin;end;clock_begin;clock_end;
40;1;Reference;1646733893200;1646734193160;11:04:53;11:09:53;
40;2;Dynamisk_10;1646734272210;1646734572170;11:11:12;11:16:12;
40;3;Dynamisk_2;1646734645060;1646734945020;11:17:25;11:22:25;
40;4;Statisk;1646735023090;1646735323050;11:23:43;11:28:43;
41;1;Reference;1646738061040;1646738361240;12:14:21;12:19:21;
41;2;Statisk;1646738440050;1646738740010;12:20:40;12:25:40;
41;3;Dynamisk_10;1646738812160;1646739112120;12:26:52;12:31:52;
41;4;Dynamisk_2;1646739192160;1646739492120;12:33:12;12:38:12;
42;1;Dynamisk_2;1646741470060;1646741770010;13:11:10;13:16:10;
42;2;Reference;1646741851040;1646742151240;13:17:31;13:22:31;
42;3;Statisk;1646742231030;1646742531240;13:23:51;13:28:51;
42;4;Dynamisk_10;1646742610290;1646742910000;13:30:10;13:35:10;
43;1;Dynamisk_10;1646744795090;1646745095050;14:06:35;14:11:35;
43;2;Reference;1646745172130;1646745472090;14:12:52;14:17:52;
43;3;Dynamisk_2;1646745551140;1646745851100;14:19:11;14:24:11;
43;4;Statisk;1646745922030;1646746222230;14:25:22;14:30:22;
44;1;Statisk;1646751991120;1646752291080;16:06:31;16:11:31;
44;2;Reference;1646752371110;1646752671070;16:12:51;16:17:51;
44;3;Dynamisk_10;1646752748160;1646753048110;16:19:08;16:24:08;
44;4;Dynamisk_2;1646753123230;1646753423180;16:25:23;16:30:23;
45;1;Dynamisk_2;1646809892340;1646810192020;08:11:32;08:16:32;
45;2;Statisk;1646810275000;1646810575170;08:17:55;08:22:55;
45;3;Reference;1646810660130;1646810960060;08:24:20;08:29:20;
45;4;Dynamisk_10;1646811031230;1646811331170;08:30:31;08:35:31;
46;1;Dynamisk_10;1646813673230;1646813973180;09:14:33;09:19:33;
46;2;Reference;1646814064050;1646814364010;09:21:04;09:26:04;
46;3;Dynamisk_2;1646814438130;1646814738080;09:27:18;09:32:18;
46;4;Statisk;1646814807040;1646815107230;09:33:27;09:38:27;
47;1;Dynamisk_10;1646816714090;1646817014050;10:05:14;10:10:14;
47;2;Statisk;1646817084230;1646817384190;10:11:24;10:16:24;
47;3;Dynamisk_2;1646817458070;1646817758020;10:17:38;10:22:38;
47;4;Reference;1646817888080;1646818188040;10:24:48;10:29:48;
48;1;Dynamisk_10;1646824174010;1646824474230;12:09:34;12:14:34;
48;2;Statisk;1646824551050;1646824851010;12:15:51;12:20:51;
48;3;Reference;1646824925140;1646825225100;12:22:05;12:27:05;
48;4;Dynamisk_2;1646825297010;1646825597210;12:28:17;12:33:17;
49;1;Reference;1646827749070;1646828049030;13:09:09;13:14:09;
49;2;Dynamisk_2;1646828130050;1646828430010;13:15:30;13:20:30;
49;3;Dynamisk_10;1646828508080;1646828808040;13:21:48;13:26:48;
49;4;Statisk;1646828881180;1646829181390;13:28:01;13:33:01;
50;1;Reference;1646831404100;1646831704060;14:10:04;14:15:04;
50;2;Dynamisk_10;1646831782120;1646832082080;14:16:22;14:21:22;
50;3;Dynamisk_2;1646832158721;1646832458801;13:22:39;13:27:39;
50;4;Statisk;1646832535283;1646832835391;13:28:55;13:33:55;
51;1;Reference;1646834475625;1646834775654;14:01:16;14:06:16;
51;2;Dynamisk_10;1646834878388;1646835178417;14:07:58;14:12:58;
51;3;Statisk;1646835252081;1646835552123;14:14:12;14:19:12;
51;4;Dynamisk_2;1646835633520;1646835933607;14:20:34;14:25:34;
52;1;Dynamisk_10;1646838415696;1646838715843;15:06:56;15:11:56;
52;2;Statisk;1646838792552;1646839092627;15:13:13;15:18:13;
52;3;Reference;1646839170292;1646839470378;15:19:30;15:24:30;
52;4;Dynamisk_2;1646839542697;1646839842773;15:25:43;15:30:43;
